
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
LogReg,6===26,0.25,0.0,0.03164556962025317,-1
LSVM,6===26,0.25,0.0,0.41139240506329117,-1
SVM,6===26,0.25,0.9904761904761905,1.0,-1
RF,6===26,0.25,0.9428571428571428,1.0,-1
LogReg,6===22,0.25,-1,-1,-1
LSVM,6===22,0.25,-1,-1,-1
SVM,6===22,0.25,-1,-1,-1
RF,6===22,0.25,-1,-1,-1
LogReg,6===14,0.25,-1,-1,1.0
LSVM,6===14,0.25,-1,-1,1.0
SVM,6===14,0.25,-1,-1,1.0
RF,6===14,0.25,-1,-1,1.0
LogReg,6===21,0.25,0.0,0.0,-1
LSVM,6===21,0.25,0.0,0.3177083333333333,-1
SVM,6===21,0.25,1.0,1.0,-1
RF,6===21,0.25,0.9609375,1.0,-1
LogReg,6===15,0.25,-1,1.0,-1
LSVM,6===15,0.25,-1,1.0,-1
SVM,6===15,0.25,-1,1.0,-1
RF,6===15,0.25,-1,1.0,-1
LogReg,6===2,0.25,-1,-1,-1
LSVM,6===2,0.25,-1,-1,-1
SVM,6===2,0.25,-1,-1,-1
RF,6===2,0.25,-1,-1,-1
LogReg,6===1,0.25,0.06521739130434782,0.5652173913043478,-1
LSVM,6===1,0.25,0.06521739130434782,0.9130434782608695,-1
SVM,6===1,0.25,1.0,0.9130434782608695,-1
RF,6===1,0.25,1.0,1.0,-1
LogReg,6===43,0.25,0.2597402597402597,0.7130434782608696,-1
LSVM,6===43,0.25,0.7402597402597403,0.9391304347826087,-1
SVM,6===43,0.25,0.6623376623376623,0.9739130434782609,-1
RF,6===43,0.25,0.8311688311688312,1.0,-1
LogReg,6===33,0.25,0.417910447761194,0.9166666666666666,-1
LSVM,6===33,0.25,0.417910447761194,0.96875,-1
SVM,6===33,0.25,0.9701492537313433,1.0,-1
RF,6===33,0.25,0.9850746268656716,1.0,-1
LogReg,6===13,0.25,0.0,0.03821656050955414,-1
LSVM,6===13,0.25,1.0,0.4840764331210191,-1
SVM,6===13,0.25,0.9523809523809523,1.0,-1
RF,6===13,0.25,0.9809523809523809,1.0,-1
LogReg,7===18,0.25,0.0,1.0,0.9358974358974359
LSVM,7===18,0.25,0.0,1.0,0.47435897435897434
SVM,7===18,0.25,1.0,1.0,1.0
RF,7===18,0.25,1.0,1.0,1.0
LogReg,7===12,0.25,0.0,0.0,-1
LSVM,7===12,0.25,0.0,0.0,-1
SVM,7===12,0.25,1.0,0.0,-1
RF,7===12,0.25,1.0,1.0,-1
LogReg,7===48,0.25,-1,-1,-1
LSVM,7===48,0.25,-1,-1,-1
SVM,7===48,0.25,-1,-1,-1
RF,7===48,0.25,-1,-1,-1
LogReg,7===35,0.25,0.3333333333333333,0.0,-1
LSVM,7===35,0.25,0.3333333333333333,0.0,-1
SVM,7===35,0.25,1.0,0.0,-1
RF,7===35,0.25,1.0,1.0,-1
LogReg,7===40,0.25,0.0,0.0,-1
LSVM,7===40,0.25,0.0,0.0,-1
SVM,7===40,0.25,1.0,1.0,-1
RF,7===40,0.25,1.0,1.0,-1
LogReg,7===44,0.25,0.42857142857142855,0.06,-1
LSVM,7===44,0.25,0.42857142857142855,0.61,-1
SVM,7===44,0.25,0.8285714285714286,1.0,-1
RF,7===44,0.25,0.9428571428571428,1.0,-1
LogReg,7===41,0.25,0.0,0.8055555555555556,-1
LSVM,7===41,0.25,1.0,0.9444444444444444,-1
SVM,7===41,0.25,1.0,0.9166666666666666,-1
RF,7===41,0.25,1.0,1.0,-1
LogReg,7===11,0.25,0.3939393939393939,0.6464646464646465,-1
LSVM,7===11,0.25,0.3939393939393939,0.9090909090909091,-1
SVM,7===11,0.25,0.9090909090909091,0.98989898989899,-1
RF,7===11,0.25,0.9393939393939394,1.0,-1
LogReg,7===17,0.25,0.0,1.0,0.09473684210526316
LSVM,7===17,0.25,0.0,1.0,0.09473684210526316
SVM,7===17,0.25,0.9838709677419355,1.0,1.0
RF,7===17,0.25,1.0,1.0,1.0
