
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
LSVM,3===23,0.25,0.9411764705882353,1.0,1.0
SVM,3===23,0.25,0.9215686274509803,0.9019607843137255,1.0
RF,3===23,0.25,1.0,1.0,1.0
LogReg,4===24,0.25,0.9487179487179487,0.9487179487179487,1.0
LSVM,4===24,0.25,0.9615384615384616,0.9871794871794872,1.0
SVM,4===24,0.25,1.0,0.9871794871794872,1.0
RF,4===24,0.25,0.9871794871794872,1.0,1.0
LogReg,4===3,0.25,0.8157894736842105,0.9230769230769231,1.0
LSVM,4===3,0.25,0.8157894736842105,1.0,1.0
SVM,4===3,0.25,0.9868421052631579,0.9615384615384616,1.0
RF,4===3,0.25,0.9736842105263158,1.0,1.0
LogReg,4===9,0.25,1.0,1.0,1.0
LSVM,4===9,0.25,1.0,1.0,1.0
SVM,4===9,0.25,1.0,1.0,1.0
RF,4===9,0.25,1.0,1.0,1.0
LogReg,4===32,0.25,1.0,1.0,1.0
LSVM,4===32,0.25,1.0,1.0,1.0
SVM,4===32,0.25,1.0,1.0,1.0
RF,4===32,0.25,1.0,1.0,1.0
LogReg,4===23,0.25,1.0,1.0,0.9404761904761905
LSVM,4===23,0.25,1.0,1.0,0.9523809523809523
SVM,4===23,0.25,1.0,1.0,1.0
RF,4===23,0.25,1.0,1.0,1.0
LogReg,5===46,0.25,0.8795180722891566,1.0,0.7083333333333334
LSVM,5===46,0.25,0.9036144578313253,0.9879518072289156,0.8020833333333334
SVM,5===46,0.25,0.9759036144578314,0.9397590361445783,1.0
RF,5===46,0.25,0.9879518072289156,1.0,1.0
LogReg,5===47,0.25,0.8658536585365854,0.8658536585365854,1.0
LSVM,5===47,0.25,0.9146341463414634,0.926829268292683,1.0
SVM,5===47,0.25,0.9512195121951219,0.9024390243902439,1.0
RF,5===47,0.25,0.975609756097561,0.9878048780487805,1.0
LogReg,5===30,0.25,0.75,0.71875,1.0
LSVM,5===30,0.25,0.85,0.96875,1.0
SVM,5===30,0.25,1.0,0.921875,1.0
RF,5===30,0.25,1.0,1.0,1.0
LogReg,5===26,0.25,1.0,1.0,1.0
LSVM,5===26,0.25,1.0,1.0,1.0
SVM,5===26,0.25,1.0,1.0,1.0
RF,5===26,0.25,1.0,1.0,1.0
LogReg,5===22,0.25,0.8591549295774648,0.8860759493670886,1.0
LSVM,5===22,0.25,0.9014084507042254,1.0,1.0
SVM,5===22,0.25,1.0,0.9873417721518988,1.0
RF,5===22,0.25,1.0,1.0,1.0
LogReg,5===6,0.25,0.9,0.7808219178082192,1.0
LSVM,5===6,0.25,0.8666666666666667,0.8767123287671232,1.0
SVM,5===6,0.25,0.9333333333333333,0.7945205479452054,1.0
RF,5===6,0.25,0.9333333333333333,0.9863013698630136,1.0
LogReg,5===19,0.25,0.8941176470588236,0.9176470588235294,0.9404761904761905
LSVM,5===19,0.25,0.9058823529411765,1.0,0.9404761904761905
SVM,5===19,0.25,1.0,0.9176470588235294,1.0
RF,5===19,0.25,1.0,1.0,1.0
LogReg,5===21,0.25,0.8823529411764706,0.5128205128205128,1.0
LSVM,5===21,0.25,0.8823529411764706,0.8717948717948718,1.0
SVM,5===21,0.25,1.0,0.7435897435897436,1.0
RF,5===21,0.25,1.0,1.0,1.0
LogReg,5===40,0.25,0.8674698795180723,0.9156626506024096,0.9285714285714286
LSVM,5===40,0.25,0.927710843373494,0.9518072289156626,0.9523809523809523
SVM,5===40,0.25,0.9879518072289156,0.891566265060241,1.0
RF,5===40,0.25,0.9879518072289156,1.0,1.0
LogReg,5===31,0.25,1.0,1.0,1.0
LSVM,5===31,0.25,1.0,1.0,1.0
SVM,5===31,0.25,1.0,1.0,1.0
RF,5===31,0.25,1.0,1.0,1.0
LogReg,5===45,0.25,0.7222222222222222,0.7980769230769231,1.0
LSVM,5===45,0.25,0.7555555555555555,0.8461538461538461,1.0
SVM,5===45,0.25,0.9111111111111111,0.8365384615384616,1.0
RF,5===45,0.25,0.9888888888888889,0.9903846153846154,1.0
LogReg,5===44,0.25,0.8,0.8387096774193549,1.0
LSVM,5===44,0.25,0.8666666666666667,0.989247311827957,1.0
SVM,5===44,0.25,0.9555555555555556,1.0,1.0
RF,5===44,0.25,1.0,1.0,1.0
LogReg,5===41,0.25,0.9625,0.9512195121951219,1.0
LSVM,5===41,0.25,0.975,0.9634146341463414,1.0
SVM,5===41,0.25,0.9625,1.0,1.0
RF,5===41,0.25,0.9875,0.975609756097561,1.0
LogReg,5===16,0.25,1.0,1.0,1.0
LSVM,5===16,0.25,1.0,1.0,1.0
SVM,5===16,0.25,1.0,1.0,1.0
RF,5===16,0.25,1.0,1.0,1.0
LogReg,5===1,0.25,0.6833333333333333,0.8235294117647058,1.0
LSVM,5===1,0.25,0.6833333333333333,0.75,1.0
SVM,5===1,0.25,0.9666666666666667,0.8382352941176471,1.0
RF,5===1,0.25,1.0,1.0,1.0
LogReg,5===11,0.25,0.8571428571428571,0.8169014084507042,1.0
LSVM,5===11,0.25,0.9,0.9014084507042254,1.0
SVM,5===11,0.25,0.9857142857142858,0.9577464788732394,1.0
RF,5===11,0.25,1.0,1.0,1.0
LogReg,5===34,0.25,0.8928571428571429,0.8928571428571429,0.8222222222222222
LSVM,5===34,0.25,0.8928571428571429,0.9761904761904762,0.8777777777777778
SVM,5===34,0.25,0.9761904761904762,0.9880952380952381,1.0
RF,5===34,0.25,0.9880952380952381,1.0,1.0
LogReg,6===46,0.25,0.7,0.8181818181818182,1.0
LSVM,6===46,0.25,0.7666666666666667,0.7575757575757576,1.0
SVM,6===46,0.25,1.0,0.6363636363636364,1.0
RF,6===46,0.25,1.0,0.9696969696969697,1.0
LogReg,6===47,0.25,1.0,1.0,1.0
LSVM,6===47,0.25,1.0,1.0,1.0
SVM,6===47,0.25,1.0,1.0,1.0
RF,6===47,0.25,1.0,1.0,1.0
LogReg,6===5,0.25,0.5959595959595959,0.8095238095238095,1.0
LSVM,6===5,0.25,0.6565656565656566,0.9809523809523809,1.0
SVM,6===5,0.25,1.0,0.819047619047619,1.0
RF,6===5,0.25,0.9797979797979798,0.9809523809523809,1.0
LogReg,6===30,0.25,0.7068965517241379,0.6805555555555556,1.0
LSVM,6===30,0.25,0.7758620689655172,0.8611111111111112,1.0
SVM,6===30,0.25,1.0,0.7361111111111112,1.0
RF,6===30,0.25,1.0,1.0,1.0
LogReg,6===26,0.25,0.9859154929577465,0.9859154929577465,1.0
LSVM,6===26,0.25,1.0,0.9859154929577465,1.0
SVM,6===26,0.25,0.9859154929577465,0.9859154929577465,1.0
RF,6===26,0.25,1.0,0.9859154929577465,1.0
LogReg,6===22,0.25,1.0,1.0,1.0
LSVM,6===22,0.25,1.0,1.0,1.0
SVM,6===22,0.25,1.0,1.0,1.0
RF,6===22,0.25,1.0,1.0,1.0
LogReg,6===14,0.25,1.0,1.0,0.9397590361445783
LSVM,6===14,0.25,1.0,1.0,0.9397590361445783
SVM,6===14,0.25,1.0,1.0,1.0
RF,6===14,0.25,1.0,1.0,0.9879518072289156
LogReg,6===21,0.25,0.8202247191011236,0.9101123595505618,1.0
LSVM,6===21,0.25,0.8876404494382022,0.9887640449438202,1.0
SVM,6===21,0.25,0.9550561797752809,0.9550561797752809,1.0
