
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
LSVM,7===20,0.25,0.9871794871794872,0.9871794871794872,1.0
SVM,7===20,0.25,0.9743589743589743,0.9743589743589743,1.0
RF,7===20,0.25,0.9743589743589743,1.0,1.0
LogReg,8===29,0.25,1.0,1.0,1.0
LSVM,8===29,0.25,1.0,1.0,1.0
SVM,8===29,0.25,1.0,1.0,1.0
RF,8===29,0.25,1.0,1.0,1.0
LogReg,8===38,0.25,1.0,1.0,1.0
LSVM,8===38,0.25,1.0,1.0,1.0
SVM,8===38,0.25,1.0,1.0,1.0
RF,8===38,0.25,1.0,1.0,1.0
LogReg,8===25,0.25,1.0,0.9459459459459459,1.0
LSVM,8===25,0.25,1.0,1.0,1.0
SVM,8===25,0.25,1.0,0.972972972972973,1.0
RF,8===25,0.25,1.0,1.0,1.0
LogReg,8===10,0.25,1.0,1.0,1.0
LSVM,8===10,0.25,1.0,1.0,1.0
SVM,8===10,0.25,1.0,1.0,1.0
RF,8===10,0.25,1.0,1.0,1.0
LogReg,9===24,0.25,1.0,0.8571428571428571,1.0
LSVM,9===24,0.25,1.0,1.0,1.0
SVM,9===24,0.25,1.0,0.8285714285714286,1.0
RF,9===24,0.25,1.0,0.9714285714285714,1.0
LogReg,9===3,0.25,0.9571428571428572,0.9571428571428572,1.0
LSVM,9===3,0.25,0.9571428571428572,0.9571428571428572,1.0
SVM,9===3,0.25,0.9571428571428572,0.9571428571428572,1.0
RF,9===3,0.25,0.9714285714285714,0.9857142857142858,1.0
LogReg,9===4,0.25,1.0,1.0,1.0
LSVM,9===4,0.25,1.0,1.0,1.0
SVM,9===4,0.25,1.0,1.0,1.0
RF,9===4,0.25,1.0,1.0,1.0
LogReg,9===32,0.25,0.9473684210526315,0.9473684210526315,0.9833333333333333
LSVM,9===32,0.25,0.9473684210526315,0.9868421052631579,0.9833333333333333
SVM,9===32,0.25,0.9605263157894737,0.9342105263157895,0.9833333333333333
RF,9===32,0.25,0.9868421052631579,1.0,1.0
LogReg,9===23,0.25,1.0,1.0,1.0
LSVM,9===23,0.25,1.0,1.0,1.0
SVM,9===23,0.25,1.0,1.0,1.0
RF,9===23,0.25,1.0,1.0,1.0
LogReg,10===45,0.25,1.0,1.0,1.0
LSVM,10===45,0.25,1.0,1.0,1.0
SVM,10===45,0.25,1.0,1.0,1.0
RF,10===45,0.25,1.0,1.0,1.0
LogReg,10===29,0.25,0.9436619718309859,0.9577464788732394,1.0
LSVM,10===29,0.25,0.9436619718309859,0.971830985915493,1.0
SVM,10===29,0.25,0.9577464788732394,0.9436619718309859,1.0
RF,10===29,0.25,0.9859154929577465,0.9859154929577465,1.0
LogReg,10===25,0.25,1.0,1.0,0.8472222222222222
LSVM,10===25,0.25,1.0,1.0,0.8611111111111112
SVM,10===25,0.25,1.0,1.0,1.0
RF,10===25,0.25,1.0,1.0,1.0
LogReg,10===39,0.25,1.0,1.0,0.9736842105263158
LSVM,10===39,0.25,1.0,1.0,0.9868421052631579
SVM,10===39,0.25,1.0,1.0,1.0
RF,10===39,0.25,1.0,1.0,1.0
LogReg,10===36,0.25,1.0,1.0,1.0
LSVM,10===36,0.25,1.0,1.0,1.0
SVM,10===36,0.25,1.0,1.0,1.0
RF,10===36,0.25,1.0,1.0,1.0
LogReg,10===8,0.25,1.0,1.0,1.0
LSVM,10===8,0.25,1.0,1.0,1.0
SVM,10===8,0.25,1.0,1.0,1.0
RF,10===8,0.25,1.0,1.0,1.0
LogReg,11===7,0.25,1.0,1.0,1.0
LSVM,11===7,0.25,1.0,1.0,1.0
SVM,11===7,0.25,1.0,1.0,1.0
RF,11===7,0.25,1.0,1.0,1.0
LogReg,11===48,0.25,0.8947368421052632,0.7297297297297297,1.0
LSVM,11===48,0.25,0.9736842105263158,0.972972972972973,1.0
SVM,11===48,0.25,0.9473684210526315,0.972972972972973,1.0
RF,11===48,0.25,1.0,1.0,1.0
LogReg,11===5,0.25,0.9818181818181818,0.9454545454545454,1.0
LSVM,11===5,0.25,0.9818181818181818,0.9636363636363636,1.0
SVM,11===5,0.25,1.0,0.9454545454545454,1.0
RF,11===5,0.25,1.0,0.9818181818181818,1.0
LogReg,11===40,0.25,0.972972972972973,0.972972972972973,0.9041095890410958
LSVM,11===40,0.25,0.972972972972973,0.972972972972973,0.9178082191780822
SVM,11===40,0.25,0.9864864864864865,0.972972972972973,1.0
RF,11===40,0.25,0.972972972972973,0.9864864864864865,0.9863013698630136
LogReg,11===31,0.25,0.9183673469387755,0.8055555555555556,1.0
LSVM,11===31,0.25,0.8979591836734694,0.8333333333333334,1.0
SVM,11===31,0.25,0.9183673469387755,0.7777777777777778,1.0
RF,11===31,0.25,1.0,0.8888888888888888,1.0
LogReg,11===45,0.25,1.0,1.0,1.0
